Ano,Potencial Doador,Potencial Doador (PMP),Doador Efetivo,Doador Efetivo (PMP),Percentual de Efetivação,Entrevista Familiar,Negativa Familiar,Negativa Familiar (%),Coração_x,Fígado_x,Figado vivo,Figado falecido,Pancreas,Pulmão_x,Pulmão vivo,Pulmão falecido,Rim_x,Rim vivo,Rim falecido,Pancreas rim,Intestino Isolado,Multivisceral_x,Total Orgãos,Córnea_x,Médula óssea,MO Autólogo,Mo Aparentado,Mo Nap,Total Geral,Coração_y,Fígado_y,Pulmão_y,Rim_y,Pâncreas,Pâncreas Rim,Intestino,Multivisceral_y,SubTotal,Córnea_y,Total
2013,177,"55,9",44,"13,9","24,9%",279,146,"52,3%",0,3,0,3,0,0,0,0,60,5,55,0,0,0,63,181,50,21,20,9,294,0,5,0,61,0,0,0,0,66,73,139
2014,175,"55,2",44,"13,9","25,1%",233,105,"45,1%",2,2,0,2,0,0,0,0,66,7,59,0,0,0,70,141,60,31,17,12,271,0,0,0,153,0,0,0,0,153,55,208
2015,157,"46,1",36,"10,6","22,9%",144,79,"54,9%",0,0,0,0,0,0,0,0,67,7,60,0,0,0,67,131,39,20,10,9,237,0,0,0,180,0,0,0,0,180,66,246
2016,152,"44,2",39,"11,3","25,7%",97,53,"54,6%",0,0,0,0,0,0,0,0,67,11,56,0,0,0,67,104,57,24,17,16,228,0,0,0,162,0,0,0,0,162,149,311
2017,173,"49,8",47,"13,5","27,2%",124,66,"53,2%",0,0,0,0,0,0,0,0,60,12,48,0,0,0,60,177,1,1,0,0,238,0,0,0,165,0,0,0,0,165,180,345
2018,159,"45,3",32,"9,1","20,1%",101,71,"70,3%",0,0,0,0,0,0,0,0,45,6,39,0,0,0,45,166,59,42,9,8,270,0,0,0,299,0,0,0,0,299,201,500
2019,217,"62,4",52,"14,9","24,0%",126,71,"56,3%",0,0,0,0,0,0,0,0,76,9,67,0,0,0,76,140,71,49,14,8,287,0,0,0,306,0,0,0,0,306,296,602
2020,188,"53,6",24,"6,8","12,8%",100,64,"64,0%",0,0,0,0,0,0,0,0,48,7,41,0,0,0,48,92,91,63,21,7,231,0,0,0,278,0,0,0,0,278,378,656
2021,207,"58,6",19,"5,4","9,2%",107,67,"62,6%",0,0,0,0,0,0,0,0,18,3,15,0,0,0,18,97,71,40,23,8,186,1,0,0,301,0,0,0,0,302,479,781
2022,231,"64,9",36,"10,1","15,6%",131,88,"67,2%",2,0,0,0,0,0,0,0,48,9,39,0,0,0,50,135,52,27,15,10,237,3,0,0,307,0,0,0,0,310,541,851
2023,223,"67,5",32,"9,7","14,3%",134,89,"66,4%",4,0,0,0,0,0,0,0,53,7,46,0,0,0,57,159,87,62,18,7,303,1,0,0,330,0,0,0,0,331,584,915
